ticket_id,user_id,username,time_arrival,status,channel,error_type,urgency,time_updated,time_closed,resolution_time_hours
TKT-1054,USR-869,neha_t,2024-02-07 08:02:00,closed,telegram,delivery,high,2024-02-07 09:12:12,2024-02-07 11:02:00,3.0
TKT-1055,USR-970,john_d,2024-05-27 14:45:00,closed,telegram,billing,high,2024-05-27 16:04:28,2024-05-27 18:04:48,3.33
TKT-1056,USR-349,rahul_v,2024-02-26 13:51:00,closed,slack,delivery,high,2024-02-26 15:22:22,2024-02-26 17:35:24,3.74
TKT-1057,USR-151,riya_m,2024-04-29 05:33:00,closed,slack,delivery,medium,2024-04-29 09:59:19,2024-04-29 15:40:48,10.13
TKT-1058,USR-873,liam_j,2024-02-11 07:55:00,closed,telegram,website,medium,2024-02-11 09:47:36,2024-02-11 14:05:48,6.18
TKT-1059,USR-353,james_x,2024-03-02 16:28:00,closed,telegram,website,medium,2024-03-02 17:41:32,2024-03-02 20:22:00,3.9
TKT-1060,USR-378,chris_w,2024-02-08 15:24:00,closed,telegram,website,low,2024-02-09 00:27:45,2024-02-09 10:10:48,18.78
TKT-1061,USR-165,kavya_n,2024-04-16 09:13:00,closed,telegram,billing,medium,2024-04-16 12:33:27,2024-04-16 18:36:24,9.39
TKT-1062,USR-888,oliver_q,2024-01-02 19:19:00,closed,slack,website,low,2024-01-03 03:09:40,2024-01-03 09:48:24,14.49
TKT-1063,USR-955,kavya_n,2024-04-21 23:01:00,closed,slack,billing,low,2024-04-22 05:09:20,2024-04-22 12:08:48,13.13
TKT-1064,USR-917,ethan_h,2024-06-09 01:01:00,closed,slack,billing,high,2024-06-09 02:14:53,2024-06-09 03:50:12,2.82
TKT-1065,USR-778,alex_m,2024-04-28 13:03:00,closed,slack,website,medium,2024-04-28 14:15:40,2024-04-28 16:42:36,3.66
TKT-1066,USR-565,chris_w,2024-04-17 16:53:00,closed,telegram,billing,low,2024-04-17 19:32:48,2024-04-18 05:42:12,12.82
TKT-1067,USR-652,priya_s,2024-06-15 09:48:00,closed,telegram,delivery,medium,2024-06-15 11:35:36,2024-06-15 15:48:00,6.0
TKT-1068,USR-959,alex_m,2024-06-20 11:36:00,closed,slack,delivery,low,2024-06-20 22:59:56,2024-06-21 17:07:48,29.53
TKT-1069,USR-362,pooja_g,2024-01-30 13:19:00,closed,slack,website,medium,2024-01-30 13:56:58,2024-01-30 16:19:36,3.01
TKT-1070,USR-419,oliver_q,2024-02-20 10:37:00,closed,telegram,billing,high,2024-02-20 12:06:32,2024-02-20 13:55:36,3.31
TKT-1071,USR-204,william_z,2024-02-01 02:50:00,closed,telegram,website,medium,2024-02-01 04:21:27,2024-02-01 06:31:24,3.69
TKT-1072,USR-777,pooja_g,2024-01-04 21:52:00,closed,slack,website,medium,2024-01-04 23:35:43,2024-01-05 02:29:48,4.63
TKT-1073,USR-470,james_x,2024-02-16 07:33:00,closed,telegram,website,low,2024-02-16 14:29:12,2024-02-17 06:04:12,22.52
TKT-1074,USR-927,riya_m,2024-05-31 16:20:00,closed,telegram,billing,medium,2024-05-31 21:23:24,2024-06-01 01:50:00,9.5
TKT-1075,USR-188,david_l,2024-05-26 03:42:00,closed,telegram,delivery,high,2024-05-26 04:25:00,2024-05-26 07:05:24,3.39
TKT-1076,USR-971,chris_w,2024-03-07 18:17:00,closed,slack,billing,low,2024-03-08 03:24:09,2024-03-08 13:15:48,18.98
TKT-1077,USR-382,riya_m,2024-01-22 15:46:00,closed,slack,website,high,2024-01-22 16:24:59,2024-01-22 17:18:24,1.54
TKT-1078,USR-346,william_z,2024-04-24 08:05:00,closed,telegram,website,medium,2024-04-24 09:56:34,2024-04-24 13:13:24,5.14
TKT-1079,USR-349,ananya_p,2024-03-29 21:47:00,closed,telegram,billing,medium,2024-03-30 00:25:38,2024-03-30 05:32:36,7.76
TKT-1080,USR-564,david_l,2024-02-19 18:07:00,closed,telegram,billing,low,2024-02-20 07:43:54,2024-02-20 17:34:36,23.46
TKT-1081,USR-806,emily_r,2024-03-12 07:37:00,closed,slack,delivery,medium,2024-03-12 11:44:23,2024-03-12 17:40:36,10.06
TKT-1082,USR-389,sara_k,2024-02-15 17:00:00,closed,slack,billing,low,2024-02-15 21:14:35,2024-02-16 09:55:48,16.93
TKT-1083,USR-146,priya_s,2024-06-12 23:06:00,closed,telegram,website,high,2024-06-13 00:27:27,2024-06-13 02:15:36,3.16
TKT-1084,USR-580,shreya_c,2024-01-14 16:55:00,closed,telegram,billing,low,2024-01-15 03:03:54,2024-01-15 12:06:24,19.19
TKT-1085,USR-510,shreya_c,2024-01-14 12:09:00,closed,slack,website,medium,2024-01-14 15:37:40,2024-01-14 18:09:00,6.0
TKT-1086,USR-187,neha_t,2024-06-05 03:50:00,closed,slack,website,high,2024-06-05 04:48:10,2024-06-05 05:44:00,1.9
TKT-1087,USR-489,liam_j,2024-04-19 17:36:00,closed,telegram,billing,high,2024-04-19 18:59:53,2024-04-19 20:45:00,3.15
TKT-1088,USR-857,sara_k,2024-06-18 10:10:00,closed,slack,website,low,2024-06-18 14:03:32,2024-06-18 19:25:00,9.25
TKT-1089,USR-260,alex_m,2024-04-30 17:02:00,closed,telegram,billing,medium,2024-04-30 19:53:46,2024-04-30 22:57:48,5.93
TKT-1090,USR-819,liam_j,2024-03-09 04:37:00,closed,slack,website,low,2024-03-09 12:22:53,2024-03-09 18:09:24,13.54
TKT-1091,USR-535,sara_k,2024-03-09 12:04:00,closed,slack,website,low,2024-03-09 15:53:52,2024-03-09 19:28:36,7.41
TKT-1092,USR-709,isha_s,2024-06-25 17:44:00,closed,telegram,billing,low,2024-06-25 23:17:14,2024-06-26 11:42:48,17.98
TKT-1093,USR-652,shreya_c,2024-04-21 07:20:00,closed,telegram,delivery,medium,2024-04-21 09:33:54,2024-04-21 17:56:36,10.61
TKT-1094,USR-334,diya_r,2024-05-27 09:48:00,closed,slack,website,high,2024-05-27 10:37:50,2024-05-27 11:56:24,2.14
TKT-1095,USR-767,liam_j,2024-04-22 04:52:00,closed,telegram,delivery,high,2024-04-22 05:44:38,2024-04-22 08:34:36,3.71
TKT-1096,USR-456,kavya_n,2024-02-11 18:26:00,closed,telegram,billing,medium,2024-02-11 21:08:29,2024-02-12 03:01:24,8.59
TKT-1097,USR-510,riya_m,2024-03-05 18:07:00,closed,slack,billing,low,2024-03-06 01:22:05,2024-03-06 14:10:00,20.05
TKT-1098,USR-626,alex_m,2024-05-12 19:39:00,closed,telegram,billing,low,2024-05-13 06:18:35,2024-05-13 19:19:48,23.68
TKT-1099,USR-878,priya_s,2024-03-14 22:56:00,closed,slack,billing,medium,2024-03-15 00:31:00,2024-03-15 05:18:12,6.37
TKT-1100,USR-745,tanvi_b,2024-05-21 08:35:00,closed,slack,website,low,2024-05-21 11:45:37,2024-05-21 19:32:36,10.96
TKT-1101,USR-961,sara_k,2024-02-09 23:59:00,closed,telegram,delivery,medium,2024-02-10 04:37:55,2024-02-10 11:30:12,11.52
TKT-1102,USR-379,kavya_n,2024-05-21 12:24:00,closed,telegram,billing,low,2024-05-21 18:48:25,2024-05-22 02:58:12,14.57
TKT-1103,USR-864,rahul_v,2024-04-16 18:59:00,closed,slack,billing,high,2024-04-16 19:47:03,2024-04-16 21:35:36,2.61
TKT-1104,USR-102,ananya_p,2024-06-17 23:55:00,closed,telegram,website,medium,2024-06-18 01:42:10,2024-06-18 04:13:00,4.3
TKT-1105,USR-453,chris_w,2024-02-19 06:15:00,closed,telegram,billing,high,2024-02-19 07:08:31,2024-02-19 09:17:24,3.04
TKT-1106,USR-894,kavya_n,2024-06-29 20:24:00,closed,slack,billing,medium,2024-06-30 00:19:43,2024-06-30 04:00:00,7.6
TKT-1107,USR-767,rahul_v,2024-05-31 18:55:00,closed,telegram,delivery,low,2024-06-01 03:49:53,2024-06-01 11:29:12,16.57
TKT-1108,USR-202,noah_f,2024-04-15 04:09:00,closed,telegram,delivery,medium,2024-04-15 07:24:18,2024-04-15 10:30:00,6.35
TKT-1109,USR-371,chris_w,2024-03-26 05:54:00,closed,telegram,website,low,2024-03-26 15:31:55,2024-03-26 22:27:36,16.56
TKT-1110,USR-741,william_z,2024-01-18 15:40:00,closed,telegram,website,low,2024-01-18 21:32:14,2024-01-19 10:18:24,18.64
TKT-1111,USR-332,isha_s,2024-06-12 06:55:00,closed,slack,billing,high,2024-06-12 07:18:11,2024-06-12 08:22:00,1.45
TKT-1112,USR-406,alex_m,2024-03-16 19:23:00,closed,slack,billing,high,2024-03-16 19:58:54,2024-03-16 21:23:36,2.01
TKT-1113,USR-521,oliver_q,2024-06-05 20:39:00,closed,slack,delivery,low,2024-06-06 06:17:00,2024-06-06 20:47:24,24.14
TKT-1114,USR-697,rahul_v,2024-04-27 16:42:00,closed,slack,billing,medium,2024-04-27 18:29:42,2024-04-27 20:08:24,3.44
TKT-1115,USR-394,diya_r,2024-03-30 02:19:00,closed,slack,delivery,medium,2024-03-30 05:17:34,2024-03-30 10:22:00,8.05
TKT-1116,USR-356,liam_j,2024-05-03 11:15:00,closed,telegram,delivery,high,2024-05-03 12:25:05,2024-05-03 14:39:00,3.4
TKT-1117,USR-402,william_z,2024-06-17 20:17:00,closed,telegram,delivery,high,2024-06-17 21:33:00,2024-06-17 22:36:12,2.32
TKT-1118,USR-896,isha_s,2024-03-14 15:38:00,closed,slack,website,medium,2024-03-14 17:20:50,2024-03-14 21:35:36,5.96
TKT-1119,USR-294,tanvi_b,2024-06-18 05:53:00,closed,telegram,website,high,2024-06-18 06:13:55,2024-06-18 07:20:36,1.46
TKT-1120,USR-742,james_x,2024-01-10 02:23:00,closed,slack,billing,high,2024-01-10 02:58:41,2024-01-10 04:54:12,2.52
TKT-1121,USR-402,chris_w,2024-05-18 19:33:00,closed,telegram,delivery,low,2024-05-19 04:05:38,2024-05-19 23:12:00,27.65
TKT-1122,USR-268,david_l,2024-03-27 11:29:00,closed,telegram,billing,medium,2024-03-27 14:04:56,2024-03-27 21:37:24,10.14
TKT-1123,USR-331,diya_r,2024-04-11 08:16:00,closed,telegram,website,low,2024-04-11 14:36:23,2024-04-12 00:52:00,16.6
TKT-1124,USR-788,isha_s,2024-06-12 19:06:00,closed,telegram,website,low,2024-06-13 02:17:34,2024-06-13 13:36:36,18.51
TKT-1125,USR-734,riya_m,2024-01-18 04:52:00,closed,telegram,website,low,2024-01-18 12:21:58,2024-01-18 20:28:36,15.61
TKT-1126,USR-764,kavya_n,2024-01-10 17:31:00,closed,slack,delivery,low,2024-01-10 21:12:40,2024-01-11 06:05:12,12.57
TKT-1127,USR-650,rahul_v,2024-06-28 01:26:00,closed,telegram,billing,low,2024-06-28 11:43:01,2024-06-28 22:23:36,20.96
TKT-1128,USR-524,james_x,2024-03-12 09:44:00,closed,slack,billing,medium,2024-03-12 11:36:31,2024-03-12 14:42:12,4.97
TKT-1129,USR-341,pooja_g,2024-06-14 19:03:00,closed,slack,website,low,2024-06-14 22:02:47,2024-06-15 05:54:36,10.86
TKT-1130,USR-225,liam_j,2024-06-13 03:01:00,closed,slack,website,low,2024-06-13 05:27:25,2024-06-13 10:20:12,7.32
TKT-1131,USR-228,oliver_q,2024-05-21 14:37:00,closed,slack,delivery,high,2024-05-21 15:48:00,2024-05-21 16:46:36,2.16
TKT-1132,USR-436,rahul_v,2024-02-07 12:34:00,closed,slack,billing,high,2024-02-07 13:01:31,2024-02-07 14:16:00,1.7
TKT-1133,USR-776,alex_m,2024-03-02 02:20:00,closed,slack,delivery,low,2024-03-02 05:33:14,2024-03-02 12:51:12,10.52
TKT-1134,USR-229,isha_s,2024-01-17 23:28:00,closed,telegram,website,low,2024-01-18 07:32:53,2024-01-18 19:24:24,19.94
TKT-1135,USR-211,liam_j,2024-06-18 00:19:00,closed,slack,website,low,2024-06-18 07:02:01,2024-06-18 11:47:12,11.47
TKT-1136,USR-162,shreya_c,2024-05-06 06:58:00,closed,telegram,billing,medium,2024-05-06 10:58:06,2024-05-06 14:07:00,7.15
TKT-1137,USR-429,tanvi_b,2024-06-09 04:37:00,closed,slack,delivery,low,2024-06-09 11:40:37,2024-06-10 02:00:24,21.39
TKT-1138,USR-711,noah_f,2024-04-20 11:50:00,closed,telegram,billing,medium,2024-04-20 16:30:30,2024-04-20 20:28:24,8.64
TKT-1139,USR-766,riya_m,2024-02-28 21:21:00,closed,slack,billing,medium,2024-02-28 23:50:15,2024-02-29 04:16:12,6.92
TKT-1140,USR-847,sara_k,2024-03-06 19:09:00,closed,telegram,billing,low,2024-03-07 03:56:30,2024-03-07 17:42:36,22.56
TKT-1141,USR-193,john_d,2024-04-05 12:35:00,closed,slack,billing,low,2024-04-05 17:56:58,2024-04-05 21:47:36,9.21
TKT-1142,USR-675,chris_w,2024-06-19 21:55:00,closed,slack,billing,low,2024-06-20 02:11:45,2024-06-20 17:19:00,19.4
TKT-1143,USR-394,tanvi_b,2024-05-09 14:09:00,closed,telegram,billing,low,2024-05-09 20:32:37,2024-05-10 12:13:12,22.07
TKT-1144,USR-210,pooja_g,2024-05-26 15:51:00,closed,telegram,delivery,high,2024-05-26 17:20:53,2024-05-26 19:22:48,3.53
TKT-1145,USR-885,tanvi_b,2024-06-26 16:01:00,closed,slack,website,high,2024-06-26 16:34:28,2024-06-26 17:10:36,1.16
TKT-1146,USR-416,chris_w,2024-02-07 02:42:00,closed,telegram,delivery,low,2024-02-07 09:04:58,2024-02-08 03:33:36,24.86
TKT-1147,USR-748,alex_m,2024-04-06 21:29:00,closed,slack,website,medium,2024-04-06 22:52:31,2024-04-07 01:29:00,4.0
TKT-1148,USR-838,chris_w,2024-06-07 09:43:00,closed,slack,delivery,low,2024-06-07 14:11:26,2024-06-07 21:34:36,11.86
TKT-1149,USR-534,shreya_c,2024-05-11 11:22:00,closed,telegram,billing,low,2024-05-11 17:08:15,2024-05-12 05:47:12,18.42
TKT-1150,USR-794,oliver_q,2024-01-12 15:25:00,closed,telegram,website,medium,2024-01-12 17:26:17,2024-01-13 00:31:36,9.11
TKT-1151,USR-309,ananya_p,2024-03-15 18:07:00,closed,slack,delivery,high,2024-03-15 18:58:28,2024-03-15 19:50:12,1.72
TKT-1152,USR-279,rahul_v,2024-05-09 01:53:00,closed,telegram,website,medium,2024-05-09 04:22:26,2024-05-09 09:10:24,7.29
TKT-1153,USR-506,isha_s,2024-01-20 18:36:00,closed,slack,billing,low,2024-01-20 23:31:25,2024-01-21 08:12:36,13.61
TKT-1154,USR-755,kavya_n,2024-03-24 13:51:00,closed,telegram,delivery,medium,2024-03-24 18:59:18,2024-03-25 03:13:48,13.38
TKT-1155,USR-806,pooja_g,2024-03-03 21:37:00,closed,slack,billing,high,2024-03-03 22:04:13,2024-03-03 23:34:36,1.96
TKT-1156,USR-991,ananya_p,2024-02-13 10:32:00,closed,telegram,delivery,low,2024-02-13 23:25:41,2024-02-14 17:48:48,31.28
TKT-1157,USR-298,pooja_g,2024-06-14 12:15:00,closed,telegram,website,high,2024-06-14 12:40:13,2024-06-14 13:38:24,1.39
TKT-1158,USR-277,tanvi_b,2024-06-09 23:29:00,closed,slack,website,low,2024-06-10 06:47:26,2024-06-10 13:59:00,14.5
TKT-1159,USR-559,diya_r,2024-04-22 10:30:00,closed,telegram,website,low,2024-04-22 15:24:47,2024-04-23 01:48:00,15.3
TKT-1160,USR-381,oliver_q,2024-03-20 22:28:00,closed,slack,billing,medium,2024-03-20 23:42:13,2024-03-21 02:01:36,3.56
TKT-1161,USR-393,john_d,2024-04-08 22:37:00,closed,slack,website,medium,2024-04-09 01:09:13,2024-04-09 03:31:36,4.91
TKT-1162,USR-142,liam_j,2024-05-08 12:03:00,closed,slack,billing,medium,2024-05-08 14:50:04,2024-05-08 17:21:36,5.31
TKT-1163,USR-957,chris_w,2024-01-11 15:45:00,closed,slack,website,medium,2024-01-11 17:24:25,2024-01-11 20:09:36,4.41
TKT-1164,USR-635,tanvi_b,2024-03-13 20:26:00,closed,slack,billing,low,2024-03-14 04:47:21,2024-03-14 14:09:12,17.72
TKT-1165,USR-153,james_x,2024-05-23 05:24:00,closed,telegram,delivery,low,2024-05-23 15:59:33,2024-05-24 03:02:24,21.64
TKT-1166,USR-772,tanvi_b,2024-06-18 12:58:00,closed,slack,billing,low,2024-06-18 20:23:56,2024-06-19 01:37:36,12.66
TKT-1167,USR-815,diya_r,2024-01-22 17:35:00,closed,telegram,delivery,medium,2024-01-22 22:07:10,2024-01-23 02:21:48,8.78
TKT-1168,USR-932,rahul_v,2024-05-10 19:01:00,closed,slack,website,medium,2024-05-10 20:07:46,2024-05-10 23:06:24,4.09
TKT-1169,USR-319,chris_w,2024-02-05 12:04:00,closed,telegram,delivery,low,2024-02-05 23:22:53,2024-02-06 10:01:36,21.96
TKT-1170,USR-619,riya_m,2024-06-07 12:38:00,closed,slack,website,low,2024-06-07 15:27:06,2024-06-07 23:16:24,10.64
TKT-1171,USR-951,william_z,2024-04-15 19:43:00,closed,slack,website,medium,2024-04-15 23:00:51,2024-04-16 01:19:36,5.61
TKT-1172,USR-725,ananya_p,2024-03-20 23:57:00,closed,telegram,delivery,medium,2024-03-21 04:16:43,2024-03-21 12:25:12,12.47
TKT-1173,USR-684,liam_j,2024-05-09 00:26:00,closed,telegram,billing,high,2024-05-09 02:30:50,2024-05-09 04:23:00,3.95
TKT-1174,USR-920,tanvi_b,2024-05-03 19:35:00,closed,slack,billing,low,2024-05-04 05:05:25,2024-05-04 15:12:12,19.62
TKT-1175,USR-628,sara_k,2024-03-10 22:57:00,closed,telegram,delivery,high,2024-03-11 00:57:45,2024-03-11 02:43:48,3.78
TKT-1176,USR-193,neha_t,2024-04-16 09:25:00,closed,telegram,billing,high,2024-04-16 10:15:51,2024-04-16 12:17:48,2.88
TKT-1177,USR-183,pooja_g,2024-01-27 06:41:00,closed,slack,delivery,low,2024-01-27 11:05:12,2024-01-27 23:43:24,17.04
TKT-1178,USR-139,ananya_p,2024-06-29 23:28:00,closed,telegram,website,high,2024-06-30 00:54:42,2024-06-30 02:02:12,2.57
TKT-1179,USR-119,david_l,2024-06-05 00:27:00,closed,slack,delivery,medium,2024-06-05 01:59:52,2024-06-05 05:21:36,4.91
TKT-1180,USR-408,sara_k,2024-06-08 22:04:00,closed,slack,delivery,medium,2024-06-09 00:49:34,2024-06-09 02:58:36,4.91
TKT-1181,USR-711,riya_m,2024-03-03 06:09:00,closed,slack,website,medium,2024-03-03 06:54:37,2024-03-03 09:56:24,3.79
TKT-1182,USR-461,neha_t,2024-01-23 00:23:00,closed,telegram,delivery,medium,2024-01-23 02:57:53,2024-01-23 06:40:24,6.29
TKT-1183,USR-619,noah_f,2024-01-13 04:24:00,closed,slack,billing,high,2024-01-13 05:17:10,2024-01-13 07:20:24,2.94
TKT-1184,USR-116,pooja_g,2024-06-18 04:06:00,closed,slack,billing,low,2024-06-18 12:50:06,2024-06-18 21:46:48,17.68
TKT-1185,USR-440,rahul_v,2024-06-13 13:53:00,closed,slack,billing,medium,2024-06-13 16:28:20,2024-06-13 20:35:36,6.71
TKT-1186,USR-812,shreya_c,2024-04-27 09:18:00,closed,slack,delivery,low,2024-04-27 16:41:25,2024-04-27 23:36:36,14.31
TKT-1187,USR-142,chris_w,2024-05-19 23:16:00,closed,telegram,website,low,2024-05-20 03:43:16,2024-05-20 08:58:36,9.71
TKT-1188,USR-392,pooja_g,2024-02-01 19:27:00,closed,slack,website,low,2024-02-02 03:20:33,2024-02-02 11:19:12,15.87
TKT-1189,USR-495,chris_w,2024-04-05 00:17:00,closed,slack,billing,medium,2024-04-05 03:37:15,2024-04-05 07:05:00,6.8
TKT-1190,USR-180,kavya_n,2024-01-27 10:20:00,closed,slack,website,low,2024-01-27 14:42:04,2024-01-27 23:52:24,13.54
TKT-1191,USR-717,william_z,2024-03-30 22:02:00,closed,telegram,delivery,medium,2024-03-31 04:34:59,2024-03-31 09:38:00,11.6
TKT-1192,USR-729,kavya_n,2024-01-15 10:42:00,closed,telegram,website,high,2024-01-15 11:36:17,2024-01-15 13:19:12,2.62
TKT-1193,USR-920,isha_s,2024-06-05 05:50:00,closed,slack,delivery,low,2024-06-05 10:37:39,2024-06-06 00:58:24,19.14
